[2025/9/12 09:48:22] Packet 1/1 | Points: 3 | Size: 52 bytes
[2025/9/17 11:38:55] Packet 1/1 | Points: 35 | Size: 436 bytes
[2025/9/17 16:07:55] Packet 1/1 | Points: 20 | Size: 256 bytes
[2025/9/17 17:50:13] Packet 1/1 | Points: 1 | Size: 28 bytes
[2025/9/18 10:03:42] Packet 1/1 | Points: 4 | Size: 64 bytes
[2025/9/18 10:04:16] Packet 1/1 | Points: 4 | Size: 64 bytes
[2025/9/18 12:06:52] Packet 1/1 | Points: 4 | Size: 64 bytes
[2025/9/18 12:08:15] Packet 1/1 | Points: 4 | Size: 64 bytes
[2025/9/18 12:10:46] Packet 1/1 | Points: 4 | Size: 64 bytes
[2025/9/18 14:09:44] Packet 1/1 | Points: 4 | Size: 64 bytes
[2025/9/18 14:10:21] Packet 1/1 | Points: 4 | Size: 64 bytes
[2025/9/18 14:43:08] Packet 1/1 | Points: 4 | Size: 64 bytes
[2025/9/18 15:26:23] Packet 1/1 | Points: 4 | Size: 64 bytes
[2025/9/18 15:59:02] Packet 1/1 | Points: 5 | Size: 76 bytes
[2025/9/18 16:31:47] Packet 1/1 | Points: 1 | Size: 28 bytes
[2025/11/26 17:54:51] Packet 1/1 | Points: 3 | Size: 52 bytes
[2025/11/26 17:55:13] Packet 1/1 | Points: 3 | Size: 52 bytes
[2025/11/26 17:59:55] Packet 1/1 | Points: 2 | Size: 40 bytes
[2025/11/26 18:00:15] Packet 1/1 | Points: 2 | Size: 40 bytes
[2025/11/26 18:00:29] Packet 1/1 | Points: 2 | Size: 40 bytes
[2025/11/26 18:00:40] Packet 1/1 | Points: 2 | Size: 40 bytes
[2025/11/26 18:02:00] Packet 1/1 | Points: 2 | Size: 40 bytes
[2025/11/26 18:25:35] Packet 1/1 | Points: 2 | Size: 40 bytes
[2025/11/26 18:52:08] Packet 1/1 | Points: 2 | Size: 40 bytes
[2025/11/26 18:52:26] Packet 1/1 | Points: 2 | Size: 40 bytes
[2025/11/26 18:53:23] Packet 1/1 | Points: 2 | Size: 40 bytes
[2025/11/26 19:21:23] Packet 1/1 | Points: 2 | Size: 40 bytes
[2025/11/26 19:21:33] Packet 1/1 | Points: 2 | Size: 40 bytes
[2025/11/27 14:08:06] Packet 1/1 | Points: 3 | Size: 52 bytes
[2025/11/27 14:27:47] Packet 1/1 | Points: 3 | Size: 52 bytes
[2025/11/27 14:29:22] Packet 1/1 | Points: 3 | Size: 52 bytes
[2025/11/27 14:42:05] Packet 1/1 | Points: 4 | Size: 64 bytes
[2025/11/27 14:47:20] Packet 1/1 | Points: 4 | Size: 64 bytes
[2025/11/27 15:01:12] Packet 1/1 | Points: 4 | Size: 64 bytes
[2025/11/27 15:03:36] Packet 1/1 | Points: 4 | Size: 64 bytes
[2025/11/27 15:11:10] Packet 1/1 | Points: 4 | Size: 64 bytes
[2025/11/27 15:11:55] Packet 1/1 | Points: 4 | Size: 64 bytes
[2025/11/27 15:19:12] Packet 1/1 | Points: 4 | Size: 64 bytes
[2025/11/27 15:27:41] Packet 1/1 | Points: 4 | Size: 64 bytes
[2025/11/27 15:31:48] Packet 1/1 | Points: 4 | Size: 64 bytes
[2025/11/27 15:33:01] Packet 1/1 | Points: 4 | Size: 64 bytes
[2025/11/27 15:41:11] Packet 1/1 | Points: 4 | Size: 64 bytes
[2025/11/27 15:42:11] Packet 1/1 | Points: 4 | Size: 64 bytes
[2025/11/27 15:42:53] Packet 1/1 | Points: 2 | Size: 40 bytes
[2025/11/27 15:45:13] Packet 1/1 | Points: 4 | Size: 64 bytes
[2025/11/27 15:47:42] Packet 1/1 | Points: 3 | Size: 52 bytes
[2025/11/27 15:49:24] Packet 1/1 | Points: 2 | Size: 40 bytes
[2025/11/27 15:53:56] Packet 1/1 | Points: 4 | Size: 64 bytes
[2025/11/27 16:17:05] Packet 1/1 | Points: 4 | Size: 64 bytes
[2025/11/27 16:17:57] Packet 1/1 | Points: 2 | Size: 40 bytes
[2025/11/27 16:20:54] Packet 1/1 | Points: 2 | Size: 40 bytes
[2025/11/27 16:21:19] Packet 1/1 | Points: 2 | Size: 40 bytes
[2025/11/27 16:21:59] Packet 1/1 | Points: 2 | Size: 40 bytes
[2025/11/27 16:57:43] Packet 1/1 | Points: 4 | Size: 64 bytes
[2025/11/29 11:29:54] Packet 1/1 | Points: 4 | Size: 64 bytes
[2025/11/29 11:47:06] Packet 1/1 | Points: 5 | Size: 76 bytes
[2025/11/29 11:59:02] Packet 1/1 | Points: 5 | Size: 76 bytes
[2025/11/29 12:03:19] Packet 1/1 | Points: 5 | Size: 76 bytes
[2025/11/29 12:05:50] Packet 1/1 | Points: 2 | Size: 40 bytes
[2025/11/29 12:06:29] Packet 1/1 | Points: 2 | Size: 40 bytes
[2025/11/29 12:16:14] Packet 1/1 | Points: 2 | Size: 40 bytes
[2025/11/29 12:33:50] Packet 1/1 | Points: 5 | Size: 76 bytes
[2025/11/29 14:51:38] Packet 1/1 | Points: 5 | Size: 76 bytes
[2025/11/29 15:02:42] Packet 1/1 | Points: 6 | Size: 88 bytes
[2025/11/29 15:04:17] Packet 1/1 | Points: 6 | Size: 88 bytes
[2025/11/29 15:07:40] Packet 1/1 | Points: 6 | Size: 88 bytes
[2025/11/29 15:07:53] Packet 1/1 | Points: 5 | Size: 76 bytes
[2025/11/29 15:25:28] Packet 1/1 | Points: 5 | Size: 76 bytes
[2025/11/29 15:34:49] Packet 1/1 | Points: 9 | Size: 124 bytes
[2025/11/29 15:40:30] Packet 1/1 | Points: 5 | Size: 76 bytes
[2025/11/29 15:46:08] Packet 1/1 | Points: 5 | Size: 76 bytes
[2025/11/29 15:53:58] Packet 1/1 | Points: 5 | Size: 76 bytes
[2025/11/29 16:10:46] Packet 1/1 | Points: 5 | Size: 76 bytes
[2025/11/29 16:28:00] Packet 1/1 | Points: 5 | Size: 76 bytes
[2025/11/29 16:44:39] Packet 1/1 | Points: 5 | Size: 76 bytes
[2025/11/29 17:21:07] Packet 1/1 | Points: 5 | Size: 76 bytes
[2025/11/29 17:26:51] Packet 1/1 | Points: 5 | Size: 76 bytes
[2025/11/29 17:47:56] Packet 1/1 | Points: 5 | Size: 76 bytes
[2025/11/30 10:04:11] Packet 1/1 | Points: 5 | Size: 76 bytes
[2025/11/30 10:11:09] Packet 1/1 | Points: 6 | Size: 88 bytes
[2025/11/30 10:38:59] Packet 1/1 | Points: 6 | Size: 88 bytes
[2025/11/30 10:39:15] Packet 1/1 | Points: 6 | Size: 88 bytes
[2025/11/30 10:40:03] Packet 1/1 | Points: 6 | Size: 88 bytes
[2025/11/30 10:42:07] Packet 1/1 | Points: 6 | Size: 88 bytes
[2025/11/30 10:42:53] Packet 1/1 | Points: 6 | Size: 88 bytes
[2025/11/30 10:50:25] Packet 1/1 | Points: 6 | Size: 88 bytes
[2025/11/30 10:51:01] Packet 1/1 | Points: 6 | Size: 88 bytes
[2025/11/30 10:53:53] Packet 1/1 | Points: 6 | Size: 88 bytes
[2025/11/30 10:54:17] Packet 1/1 | Points: 6 | Size: 88 bytes
[2025/11/30 10:54:34] Packet 1/1 | Points: 6 | Size: 88 bytes
[2025/11/30 10:59:18] Packet 1/1 | Points: 6 | Size: 88 bytes
[2025/11/30 11:04:43] Packet 1/1 | Points: 6 | Size: 88 bytes
[2025/11/30 11:18:11] Packet 1/1 | Points: 6 | Size: 88 bytes
[2025/11/30 12:00:56] Packet 1/1 | Points: 6 | Size: 88 bytes
[2025/11/30 12:07:29] Packet 1/1 | Points: 6 | Size: 88 bytes
[2025/11/30 12:17:04] Packet 1/1 | Points: 6 | Size: 88 bytes
[2025/11/30 12:22:37] Packet 1/1 | Points: 6 | Size: 88 bytes
[2025/11/30 12:28:08] Packet 1/1 | Points: 6 | Size: 88 bytes
[2025/11/30 12:28:18] Packet 1/1 | Points: 6 | Size: 88 bytes
[2025/11/30 12:44:38] Packet 1/1 | Points: 6 | Size: 88 bytes
[2025/11/30 12:46:06] Packet 1/1 | Points: 6 | Size: 88 bytes
[2025/11/30 13:00:10] Packet 1/1 | Points: 6 | Size: 88 bytes
[2025/11/30 13:00:19] Packet 1/1 | Points: 6 | Size: 88 bytes
[2025/11/30 13:27:04] Packet 1/1 | Points: 6 | Size: 88 bytes
[2025/11/30 13:44:34] Packet 1/1 | Points: 2 | Size: 40 bytes
[2025/11/30 13:55:04] Packet 1/1 | Points: 6 | Size: 88 bytes
[2025/11/30 13:55:32] Packet 1/1 | Points: 6 | Size: 88 bytes
[2025/11/30 13:55:43] Packet 1/1 | Points: 6 | Size: 88 bytes
[2025/11/30 14:03:36] Packet 1/1 | Points: 6 | Size: 88 bytes
[2025/11/30 14:03:54] Packet 1/1 | Points: 6 | Size: 88 bytes
[2025/11/30 14:04:08] Packet 1/1 | Points: 6 | Size: 88 bytes
[2025/11/30 14:15:55] Packet 1/1 | Points: 6 | Size: 88 bytes
[2025/11/30 14:22:48] Packet 1/1 | Points: 6 | Size: 88 bytes
[2025/11/30 14:50:57] Packet 1/1 | Points: 6 | Size: 88 bytes
[2025/11/30 14:51:19] Packet 1/1 | Points: 6 | Size: 88 bytes
[2025/11/30 14:54:19] Packet 1/1 | Points: 6 | Size: 88 bytes
[2025/11/30 15:04:47] Packet 1/1 | Points: 6 | Size: 88 bytes
[2025/11/30 15:05:18] Packet 1/1 | Points: 6 | Size: 88 bytes
[2025/11/30 15:10:37] Packet 1/1 | Points: 1 | Size: 28 bytes
[2025/11/30 15:18:31] Packet 1/1 | Points: 6 | Size: 88 bytes
[2025/11/30 15:19:06] Packet 1/1 | Points: 6 | Size: 88 bytes
[2025/11/30 15:35:30] Packet 1/1 | Points: 5 | Size: 76 bytes
[2025/11/30 15:35:51] Packet 1/1 | Points: 5 | Size: 76 bytes
[2025/11/30 15:36:00] Packet 1/1 | Points: 5 | Size: 76 bytes
[2025/11/30 15:43:31] Packet 1/1 | Points: 2 | Size: 40 bytes
[2025/11/30 15:45:25] Packet 1/1 | Points: 6 | Size: 88 bytes
[2025/11/30 15:55:10] Packet 1/1 | Points: 6 | Size: 88 bytes
[2025/11/30 16:07:03] Packet 1/1 | Points: 24 | Size: 304 bytes
[2025/11/30 16:50:50] Packet 1/1 | Points: 24 | Size: 304 bytes
[2025/11/30 20:56:43] Packet 1/1 | Points: 3 | Size: 52 bytes
[2025/11/30 20:59:22] Packet 1/1 | Points: 2 | Size: 40 bytes
[2025/12/1 19:13:24] Packet 1/1 | Points: 3 | Size: 52 bytes
[2025/12/1 19:24:46] Packet 1/1 | Points: 3 | Size: 52 bytes
[2025/12/1 19:31:16] Packet 1/1 | Points: 3 | Size: 52 bytes
[2025/12/1 20:03:43] Packet 1/1 | Points: 5 | Size: 76 bytes
[2025/12/1 20:06:55] Packet 1/1 | Points: 5 | Size: 76 bytes
[2025/12/1 20:20:21] Packet 1/1 | Points: 5 | Size: 76 bytes
[2025/12/1 20:55:34] Packet 1/1 | Points: 5 | Size: 76 bytes
[2025/12/1 21:36:20] Packet 1/1 | Points: 12 | Size: 160 bytes
[2025/12/1 21:59:10] Packet 1/1 | Points: 12 | Size: 160 bytes
[2025/12/1 21:59:16] Packet 1/1 | Points: 12 | Size: 160 bytes
[2025/12/1 22:17:58] Packet 1/1 | Points: 12 | Size: 160 bytes
[2025/12/1 22:37:24] Packet 1/1 | Points: 6 | Size: 88 bytes
[2025/12/1 22:37:58] Packet 1/1 | Points: 6 | Size: 88 bytes
[2025/12/1 22:48:52] Packet 1/1 | Points: 7 | Size: 100 bytes
[2025/12/1 22:49:23] Packet 1/1 | Points: 7 | Size: 100 bytes
[2025/12/1 22:58:05] Packet 1/1 | Points: 4 | Size: 64 bytes
[2025/12/1 23:00:21] Packet 1/1 | Points: 3 | Size: 52 bytes
[2025/12/1 23:10:35] Packet 1/1 | Points: 4 | Size: 64 bytes
[2025/12/1 23:12:04] Packet 1/1 | Points: 4 | Size: 64 bytes
[2025/12/1 23:12:27] Packet 1/1 | Points: 4 | Size: 64 bytes
[2025/12/2 09:50:32] Packet 1/1 | Points: 4 | Size: 64 bytes
[2025/12/2 09:50:53] Packet 1/1 | Points: 2 | Size: 40 bytes
[2025/12/2 09:52:29] Packet 1/1 | Points: 2 | Size: 40 bytes
[2025/12/2 10:22:27] Packet 1/1 | Points: 6 | Size: 88 bytes
[2025/12/2 10:32:41] Packet 1/1 | Points: 6 | Size: 88 bytes
[2025/12/2 10:32:57] Packet 1/1 | Points: 6 | Size: 88 bytes
[2025/12/2 10:48:23] Packet 1/1 | Points: 6 | Size: 88 bytes
[2025/12/2 10:48:34] Packet 1/1 | Points: 6 | Size: 88 bytes
[2025/12/2 10:58:42] Packet 1/1 | Points: 6 | Size: 88 bytes
[2025/12/2 11:09:37] Packet 1/1 | Points: 6 | Size: 88 bytes
[2025/12/2 11:09:49] Packet 1/1 | Points: 6 | Size: 88 bytes
[2025/12/2 11:11:16] Packet 1/1 | Points: 6 | Size: 88 bytes
[2025/12/2 11:20:52] Packet 1/1 | Points: 6 | Size: 88 bytes
[2025/12/2 11:30:41] Packet 1/1 | Points: 6 | Size: 88 bytes
[2025/12/2 11:31:44] Packet 1/1 | Points: 6 | Size: 88 bytes
[2025/12/2 11:36:34] Packet 1/1 | Points: 6 | Size: 88 bytes
[2025/12/2 11:43:02] Packet 1/1 | Points: 6 | Size: 88 bytes
[2025/12/2 11:45:24] Packet 1/1 | Points: 6 | Size: 88 bytes
[2025/12/2 11:46:02] Packet 1/1 | Points: 6 | Size: 88 bytes
[2025/12/2 11:53:29] Packet 1/1 | Points: 12 | Size: 160 bytes
[2025/12/2 11:55:12] Packet 1/1 | Points: 12 | Size: 160 bytes
[2025/12/2 11:57:24] Packet 1/1 | Points: 12 | Size: 160 bytes
[2025/12/2 12:01:16] Packet 1/1 | Points: 1 | Size: 28 bytes
[2025/12/2 12:01:28] Packet 1/1 | Points: 1 | Size: 28 bytes
[2025/12/2 13:41:37] Packet 1/1 | Points: 12 | Size: 160 bytes
[2025/12/2 13:42:41] Packet 1/1 | Points: 12 | Size: 160 bytes
[2025/12/2 14:04:27] Packet 1/1 | Points: 12 | Size: 160 bytes
[2025/12/2 14:04:46] Packet 1/1 | Points: 12 | Size: 160 bytes
[2025/12/2 16:14:27] Packet 1/1 | Points: 12 | Size: 160 bytes
[2025/12/2 16:20:08] Packet 1/1 | Points: 12 | Size: 160 bytes
[2025/12/2 16:20:28] Packet 1/1 | Points: 12 | Size: 160 bytes
[2025/12/2 16:35:28] Packet 1/1 | Points: 9 | Size: 124 bytes
[2025/12/2 16:40:30] Packet 1/1 | Points: 18 | Size: 232 bytes
[2025/12/2 16:52:02] Packet 1/1 | Points: 6 | Size: 88 bytes
[2025/12/2 16:57:40] Packet 1/1 | Points: 4 | Size: 64 bytes
[2025/12/2 17:02:50] Packet 1/1 | Points: 7 | Size: 100 bytes
[2025/12/2 17:05:22] Packet 1/1 | Points: 7 | Size: 100 bytes
[2025/12/2 17:10:34] Packet 1/1 | Points: 6 | Size: 88 bytes
[2025/12/2 17:10:58] Packet 1/1 | Points: 6 | Size: 88 bytes
[2025/12/2 17:11:15] Packet 1/1 | Points: 6 | Size: 88 bytes
[2025/12/2 17:18:19] Packet 1/1 | Points: 6 | Size: 88 bytes
[2025/12/2 17:19:50] Packet 1/1 | Points: 6 | Size: 88 bytes
[2025/12/2 17:25:48] Packet 1/1 | Points: 18 | Size: 232 bytes
[2025/12/4 10:50:27] Packet 1/1 | Points: 18 | Size: 232 bytes
